Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
Chord(mm),1000
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1000.000000,0.000000
999.756000,0.052000
999.023000,0.209000
997.802000,0.469000
996.095000,0.832000
993.903000,1.298000
991.228000,1.863000
988.072000,2.528000
984.438000,3.289000
980.330000,4.145000
975.752000,5.092000
970.707000,6.129000
965.201000,7.252000
959.238000,8.458000
952.825000,9.744000
945.966000,11.105000
938.669000,12.538000
930.941000,14.039000
922.788000,15.605000
914.218000,17.230000
905.240000,18.910000
895.862000,20.641000
886.092000,22.419000
875.941000,24.239000
865.417000,26.096000
854.532000,27.985000
843.294000,29.903000
831.716000,31.844000
819.807000,33.804000
807.581000,35.777000
795.047000,37.760000
782.219000,39.747000
769.109000,41.734000
755.730000,43.716000
742.094000,45.689000
728.216000,47.648000
714.107000,49.588000
699.783000,51.505000
685.258000,53.394000
670.545000,55.251000
655.659000,57.071000
640.614000,58.850000
625.426000,60.584000
610.110000,62.268000
594.680000,63.897000
579.153000,65.468000
563.542000,66.977000
547.865000,68.418000
532.136000,69.789000
516.372000,71.085000
500.587000,72.303000
484.799000,73.438000
469.022000,74.486000
453.273000,75.446000
437.567000,76.312000
421.921000,77.082000
406.350000,77.752000
390.796000,78.315000
375.297000,78.743000
359.920000,79.032000
344.680000,79.180000
329.594000,79.186000
314.678000,79.051000
299.948000,78.773000
285.418000,78.355000
271.106000,77.795000
257.025000,77.096000
243.191000,76.259000
229.618000,75.287000
216.321000,74.181000
203.313000,72.945000
190.609000,71.582000
178.222000,70.096000
166.164000,68.490000
154.449000,66.770000
143.089000,64.940000
132.094000,63.005000
121.477000,60.970000
111.248000,58.842000
101.418000,56.625000
91.996000,54.325000
82.992000,51.950000
74.415000,49.504000
66.273000,46.994000
58.573000,44.427000
51.324000,41.808000
44.532000,39.144000
38.203000,36.441000
32.343000,33.704000
26.958000,30.939000
22.051000,28.152000
17.628000,25.348000
13.692000,22.531000
10.245000,19.707000
7.292000,16.878000
4.833000,14.049000
2.870000,11.224000
1.405000,8.404000
0.439000,5.592000
-0.030000,2.790000
0.000000,0.000000
0.523000,-2.741000
1.535000,-5.395000
3.033000,-7.961000
5.015000,-10.439000
7.479000,-12.828000
10.421000,-15.126000
13.838000,-17.334000
17.725000,-19.451000
22.078000,-21.476000
26.892000,-23.408000
32.161000,-25.246000
37.880000,-26.990000
44.042000,-28.639000
50.641000,-30.193000
57.669000,-31.651000
65.120000,-33.014000
72.985000,-34.280000
81.257000,-35.451000
89.927000,-36.527000
98.987000,-37.507000
108.427000,-38.392000
118.239000,-39.185000
128.412000,-39.884000
138.937000,-40.493000
149.805000,-41.012000
161.004000,-41.444000
172.524000,-41.791000
184.354000,-42.054000
196.484000,-42.238000
208.902000,-42.343000
221.596000,-42.375000
234.555000,-42.335000
247.768000,-42.228000
261.221000,-42.058000
274.904000,-41.827000
288.802000,-41.541000
302.904000,-41.203000
317.197000,-40.817000
331.668000,-40.389000
346.303000,-39.923000
361.089000,-39.422000
376.013000,-38.892000
391.061000,-38.336000
406.269000,-37.757000
421.645000,-37.134000
437.099000,-36.467000
452.619000,-35.757000
468.187000,-35.009000
483.790000,-34.227000
499.413000,-33.414000
515.039000,-32.573000
530.654000,-31.708000
546.243000,-30.821000
561.791000,-29.917000
577.282000,-28.997000
592.701000,-28.066000
608.033000,-27.125000
623.264000,-26.176000
638.377000,-25.224000
653.358000,-24.269000
668.193000,-23.313000
682.867000,-22.360000
697.364000,-21.410000
711.672000,-20.466000
725.775000,-19.529000
739.659000,-18.600000
753.311000,-17.681000
766.718000,-16.774000
779.864000,-15.880000
792.738000,-14.999000
805.327000,-14.133000
817.617000,-13.284000
829.596000,-12.451000
841.253000,-11.637000
852.575000,-10.842000
863.551000,-10.068000
874.170000,-9.314000
884.421000,-8.583000
894.293000,-7.875000
903.777000,-7.191000
912.862000,-6.532000
921.540000,-5.900000
929.801000,-5.294000
937.637000,-4.717000
945.040000,-4.169000
952.002000,-3.650000
958.516000,-3.163000
964.576000,-2.708000
970.174000,-2.285000
975.305000,-1.896000
979.964000,-1.541000
984.145000,-1.222000
987.845000,-0.938000
991.060000,-0.691000
993.785000,-0.481000
996.020000,-0.308000
997.760000,-0.174000
999.004000,-0.077000
999.751000,-0.019000
1000.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.439000,5.592000
-0.030000,1.395000
0.000000,0.000000
0.523000,1.547761
1.535000,1.629619
3.033000,1.748789
5.015000,1.909693
7.479000,2.114574
10.421000,2.362595
13.838000,2.650746
17.725000,2.979247
22.078000,3.345668
26.892000,3.746757
32.161000,4.182275
37.880000,4.650069
44.042000,5.147865
50.641000,5.673555
57.669000,6.224696
65.120000,6.797808
72.985000,7.391581
81.257000,8.002105
89.927000,8.626128
98.987000,9.262285
108.427000,9.906884
118.239000,10.555690
128.412000,11.207629
138.937000,11.858147
149.805000,12.504945
161.004000,13.144204
172.524000,13.773043
184.354000,14.388811
196.484000,14.987162
208.902000,15.566529
221.596000,16.122378
234.555000,16.652776
247.768000,17.153961
261.221000,17.623148
274.904000,18.058304
288.802000,18.455676
302.904000,18.812894
317.197000,19.128399
331.668000,19.398088
346.303000,19.620619
361.089000,19.794015
376.013000,19.915614
391.061000,19.984704
406.269000,19.998966
421.645000,19.979938
437.099000,19.934016
452.619000,19.862530
468.187000,19.763949
483.790000,19.639012
499.413000,19.486699
515.039000,19.307428
530.654000,19.101420
546.243000,18.869190
561.791000,18.610474
577.282000,18.325928
592.701000,18.015616
608.033000,17.681138
623.264000,17.322856
638.377000,16.940698
653.358000,16.537041
668.193000,16.112781
682.867000,15.667890
697.364000,15.204797
711.672000,14.723940
725.775000,14.227320
739.659000,13.716361
753.311000,13.192503
766.718000,12.657104
779.864000,12.111966
792.738000,11.559327
805.327000,11.000302
817.617000,10.436708
829.596000,9.870956
841.253000,9.304082
852.575000,8.738502
863.551000,8.175914
874.170000,7.618750
884.421000,7.067799
894.293000,6.525768
903.777000,5.994521
912.862000,5.475870
921.540000,4.970820
929.801000,4.481984
937.637000,4.010722
945.040000,3.558925
952.002000,3.128652
958.516000,2.719891
964.576000,2.335202
970.174000,1.976355
975.305000,1.643940
979.964000,1.339855
984.145000,1.064027
987.845000,0.818768
991.060000,0.603700
993.785000,0.420962
996.020000,0.269972
997.760000,0.151966
999.004000,0.068023
999.751000,0.017035
1000.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1000.000000,0.000000
