Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
Chord(mm),200
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
200.000000,0.000000
199.951200,0.010400
199.804600,0.041800
199.560400,0.093800
199.219000,0.166400
198.780600,0.259600
198.245600,0.372600
197.614400,0.505600
196.887600,0.657800
196.066000,0.829000
195.150400,1.018400
194.141400,1.225800
193.040200,1.450400
191.847600,1.691600
190.565000,1.948800
189.193200,2.221000
187.733800,2.507600
186.188200,2.807800
184.557600,3.121000
182.843600,3.446000
181.048000,3.782000
179.172400,4.128200
177.218400,4.483800
175.188200,4.847800
173.083400,5.219200
170.906400,5.597000
168.658800,5.980600
166.343200,6.368800
163.961400,6.760800
161.516200,7.155400
159.009400,7.552000
156.443800,7.949400
153.821800,8.346800
151.146000,8.743200
148.418800,9.137800
145.643200,9.529600
142.821400,9.917600
139.956600,10.301000
137.051600,10.678800
134.109000,11.050200
131.131800,11.414200
128.122800,11.770000
125.085200,12.116800
122.022000,12.453600
118.936000,12.779400
115.830600,13.093600
112.708400,13.395400
109.573000,13.683600
106.427200,13.957800
103.274400,14.217000
100.117400,14.460600
96.959800,14.687600
93.804400,14.897200
90.654600,15.089200
87.513400,15.262400
84.384200,15.416400
81.270000,15.550400
78.159200,15.663000
75.059400,15.748600
71.984000,15.806400
68.936000,15.836000
65.918800,15.837200
62.935600,15.810200
59.989600,15.754600
57.083600,15.671000
54.221200,15.559000
51.405000,15.419200
48.638200,15.251800
45.923600,15.057400
43.264200,14.836200
40.662600,14.589000
38.121800,14.316400
35.644400,14.019200
33.232800,13.698000
30.889800,13.354000
28.617800,12.988000
26.418800,12.601000
24.295400,12.194000
22.249600,11.768400
20.283600,11.325000
18.399200,10.865000
16.598400,10.390000
14.883000,9.900800
13.254600,9.398800
11.714600,8.885400
10.264800,8.361600
8.906400,7.828800
7.640600,7.288200
6.468600,6.740800
5.391600,6.187800
4.410200,5.630400
3.525600,5.069600
2.738400,4.506200
2.049000,3.941400
1.458400,3.375600
0.966600,2.809800
0.574000,2.244800
0.281000,1.680800
0.087800,1.118400
-0.006000,0.558000
0.000000,0.000000
0.104600,-0.548200
0.307000,-1.079000
0.606600,-1.592200
1.003000,-2.087800
1.495800,-2.565600
2.084200,-3.025200
2.767600,-3.466800
3.545000,-3.890200
4.415600,-4.295200
5.378400,-4.681600
6.432200,-5.049200
7.576000,-5.398000
8.808400,-5.727800
10.128200,-6.038600
11.533800,-6.330200
13.024000,-6.602800
14.597000,-6.856000
16.251400,-7.090200
17.985400,-7.305400
19.797400,-7.501400
21.685400,-7.678400
23.647800,-7.837000
25.682400,-7.976800
27.787400,-8.098600
29.961000,-8.202400
32.200800,-8.288800
34.504800,-8.358200
36.870800,-8.410800
39.296800,-8.447600
41.780400,-8.468600
44.319200,-8.475000
46.911000,-8.467000
49.553600,-8.445600
52.244200,-8.411600
54.980800,-8.365400
57.760400,-8.308200
60.580800,-8.240600
63.439400,-8.163400
66.333600,-8.077800
69.260600,-7.984600
72.217800,-7.884400
75.202600,-7.778400
78.212200,-7.667200
81.253800,-7.551400
84.329000,-7.426800
87.419800,-7.293400
90.523800,-7.151400
93.637400,-7.001800
96.758000,-6.845400
99.882600,-6.682800
103.007800,-6.514600
106.130800,-6.341600
109.248600,-6.164200
112.358200,-5.983400
115.456400,-5.799400
118.540200,-5.613200
121.606600,-5.425000
124.652800,-5.235200
127.675400,-5.044800
130.671600,-4.853800
133.638600,-4.662600
136.573400,-4.472000
139.472800,-4.282000
142.334400,-4.093200
145.155000,-3.905800
147.931800,-3.720000
150.662200,-3.536200
153.343600,-3.354800
155.972800,-3.176000
158.547600,-2.999800
161.065400,-2.826600
163.523400,-2.656800
165.919200,-2.490200
168.250600,-2.327400
170.515000,-2.168400
172.710200,-2.013600
174.834000,-1.862800
176.884200,-1.716600
178.858600,-1.575000
180.755400,-1.438200
182.572400,-1.306400
184.308000,-1.180000
185.960200,-1.058800
187.527400,-0.943400
189.008000,-0.833800
190.400400,-0.730000
191.703200,-0.632600
192.915200,-0.541600
194.034800,-0.457000
195.061000,-0.379200
195.992800,-0.308200
196.829000,-0.244400
197.569000,-0.187600
198.212000,-0.138200
198.757000,-0.096200
199.204000,-0.061600
199.552000,-0.034800
199.800800,-0.015400
199.950200,-0.003800
200.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.087800,1.118400
-0.006000,0.279000
0.000000,0.000000
0.104600,0.309552
0.307000,0.325924
0.606600,0.349758
1.003000,0.381939
1.495800,0.422915
2.084200,0.472519
2.767600,0.530149
3.545000,0.595849
4.415600,0.669134
5.378400,0.749351
6.432200,0.836455
7.576000,0.930014
8.808400,1.029573
10.128200,1.134711
11.533800,1.244939
13.024000,1.359562
14.597000,1.478316
16.251400,1.600421
17.985400,1.725226
19.797400,1.852457
21.685400,1.981377
23.647800,2.111138
25.682400,2.241526
27.787400,2.371629
29.961000,2.500989
32.200800,2.628841
34.504800,2.754609
36.870800,2.877762
39.296800,2.997432
41.780400,3.113306
44.319200,3.224476
46.911000,3.330555
49.553600,3.430792
52.244200,3.524630
54.980800,3.611661
57.760400,3.691135
60.580800,3.762579
63.439400,3.825680
66.333600,3.879618
69.260600,3.924124
72.217800,3.958803
75.202600,3.983123
78.212200,3.996941
81.253800,3.999793
84.329000,3.995988
87.419800,3.986803
90.523800,3.972506
93.637400,3.952790
96.758000,3.927802
99.882600,3.897340
103.007800,3.861486
106.130800,3.820284
109.248600,3.773838
112.358200,3.722095
115.456400,3.665186
118.540200,3.603123
121.606600,3.536228
124.652800,3.464571
127.675400,3.388140
130.671600,3.307408
133.638600,3.222556
136.573400,3.133578
139.472800,3.040959
142.334400,2.944788
145.155000,2.845464
147.931800,2.743272
150.662200,2.638501
153.343600,2.531421
155.972800,2.422393
158.547600,2.311865
161.065400,2.200060
163.523400,2.087342
165.919200,1.974191
168.250600,1.860816
170.515000,1.747700
172.710200,1.635183
174.834000,1.523750
176.884200,1.413560
178.858600,1.305154
180.755400,1.198904
182.572400,1.095174
184.308000,0.994164
185.960200,0.896397
187.527400,0.802144
189.008000,0.711785
190.400400,0.625730
191.703200,0.543978
192.915200,0.467040
194.034800,0.395271
195.061000,0.328788
195.992800,0.267971
196.829000,0.212805
197.569000,0.163754
198.212000,0.120740
198.757000,0.084192
199.204000,0.053994
199.552000,0.030393
199.800800,0.013605
199.950200,0.003407
200.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
200.000000,0.000000
